Style Code,Product,Supplier Name,Sales Rep,Email,Current Supplier,Standard shipping MOQ,Economy Shipping MOQ,V4 Blanks Sea Price,V4 Blanks Air Price,Air Ship Price,Sea Ship Price,Bulk Production Timeline,Air Shipping Timeline,Sea Shipping Timeline,Weights
FP100,Lindsey Fold-over Lounge Shorts,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,85 Units,$11.80,,$5.00,$4.00,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP100,Lindsey Fold-over Lounge Shorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,85 Units,$11.80,,$6.43,$5.43,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP100,Lindsey Fold-over Lounge Shorts," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,85 Units,$11.80,,$5.20,$4.45,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP100,Lindsey Fold-over Lounge Shorts,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,85 Units,$11.80,,$5.90,$5.10,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP101,Katie Fold-over Flared Pants,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$15.00,,$9.98,$7.90,10-14 days (4 week MTO),10-15 days,35-40 days,0.40 KGS
FP101,Katie Fold-over Flared Pants,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,50 Units,$15.00,,$8.50,$7.55,10-14 days (4 week MTO),16 days,35-50 days,
FP101,Katie Fold-over Flared Pants,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,50 Units,$15.00,,$7.00,$6.00,10-14 days (4 week MTO),10-15 days,35-40 days,0.40 KGS
FP101,Katie Fold-over Flared Pants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$15.00,,$12.10,$9.90,10-14 days (4 week MTO),10-15 days,35-40 days,0.40 KGS
FP101,Katie Fold-over Flared Pants,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$15.00,,$8.50,$7.55,10-14 days (4 week MTO),10-15 days,35-40 days,0.40 KGS
FP101,Katie Fold-over Flared Pants," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,50 Units,$15.00,,$9.30,$8.60,10-14 days (4 week MTO),10-15 days,35-40 days,0.40 KGS
FP95UQZ,Aspen Heavyweight Quarter-Zip,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,,$23.26,,$25.00,$19.50,10-14 days (4 week MTO),15 days,35-50 days,0.90 KGS
FP94USS,Denver Mock Neck Heavyweight Sweatshirt,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,,$19.33,,$19.52,$13.64,10-14 days (4 week MTO),15 days,35-50 days,0.85 KGS
FP94USS,Denver Mock Neck Heavyweight Sweatshirt,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,,$19.33,,$24.50,$16.25,10-14 days (4 week MTO),15 days,35-50 days,0.85 KGS
FP94USS,Denver Mock Neck Heavyweight Sweatshirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,,$19.33,,$17.00,$12.40,10-14 days (4 week MTO),16 days,35-50 days,
FP94USS,Denver Mock Neck Heavyweight Sweatshirt,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,,$19.33,,$17.00,$12.40,10-14 days (4 week MTO),16 days,35-50 days,
FP94USS,Denver Mock Neck Heavyweight Sweatshirt,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,,$19.33,,$15.50,$11.50,10-14 days (4 week MTO),16 days,35-50 days,
FP94USS,Denver Mock Neck Heavyweight Sweatshirt,"Fuzhou Sandian Garment Co., Ltd.",Harlen Lin,harlenlin5@gmail.com | +86 15551396382,,50 units - MTO and Custom Colors,,$19.33,,$16.65,$13.30,10-14 days (4 week MTO),16 days,35-50 days,
FP93,Fresh Prints Poppy Striped Shorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,150 Units,$12.00,,$9.00,$8.00,10-14 days (4 week MTO),15 days,35-50 days,
FP92,Fresh Prints Poppy Gingham Shorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,150 Units,$12.00,,$9.00,$8.00,10-14 days (4 week MTO),15 days,35-50 days,
FP90,San Diego Open Heavyweight Sweatpants,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",Current Supplier,50 units - MTO and Custom Colors,50 Units,$11.50,,$19.40,$15.18,10-14 days (4 week MTO),15 days,35-50 days,
FP90,San Diego Open Heavyweight Sweatpants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$13.50,,$18.50,$11.50,10-14 days (4 week MTO),15 days,35-50 days,0.88 KGS
FP90,San Diego Open Heavyweight Sweatpants,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,50 Units,$11.50,,$18.00,$12.50,10-14 days (4 week MTO),16 days,35-50 days,
FP90,San Diego Open Heavyweight Sweatpants,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,50 Units,$11.50,,$17.20,$9.50,10-14 days (4 week MTO),15 days,35-50 days,
FP90,San Diego Open Heavyweight Sweatpants,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$11.50,,$13.50,$10.50,10-14 days (4 week MTO),15 days,35-50 days,
FP90,San Diego Open Heavyweight Sweatpants,"Fuzhou Sandian Garment Co., Ltd.",Harlen Lin,harlenlin5@gmail.com | +86 15551396382,,50 units - MTO and Custom Colors,50 Units,$11.50,,$17.00,$13.60,10-14 days (4 week MTO),15 days,35-50 days,
FP89,Miami Heavyweight Shorts,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$11.20,,$9.80,$8.20,10-14 days (4 week MTO),17 days,35-50 days,
FP89,Miami Heavyweight Shorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$13.20,,$12.00,$6.50,10-14 days (4 week MTO),15 days,35-50 days,0.60 KGS
FP89,Miami Heavyweight Shorts,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$11.20,,$11.00,$6.50,10-14 days (4 week MTO),16 days,35-50 days,
FP89,Miami Heavyweight Shorts,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,50 Units,$11.20,,$11.00,$6.50,10-14 days (4 week MTO),16 days,35-50 days,
FP89,Miami Heavyweight Shorts,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$11.20,,$9.20,$7.50,10-14 days (4 week MTO),16 days,35-50 days,
FP88,Chicago Heavyweight Crewneck,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$19.30,,$19.30,$13.00,10-14 days (4 week MTO),15 days,35-50 days,0.85 KGS
FP88,Chicago Heavyweight Crewneck,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$17.30,,$17.00,$12.40,10-14 days (4 week MTO),10-15 days,35-40 days,0.85 KGS
FP88,Chicago Heavyweight Crewneck,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,50 Units,$17.30,,$19.60,$13.00,10-14 days (4 week MTO),10-15 days,35-40 days,0.85 KGS
FP88,Chicago Heavyweight Crewneck,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$17.30,,$16.00,$11.20,10-14 days (4 week MTO),10-15 days,35-40 days,0.85 KGS
FP87,Boston Heavyweight Hoodie,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,50 Units,$22.00,,$22.30,$14.50,10-14 days (4 week MTO),15 days,35-50 days,0.95 KGS
FP87,Boston Heavyweight Hoodie,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$24.00,,$22.00,$14.50,10-14 days (4 week MTO),15 days,35-50 days,0.95 KGS
FP87,Boston Heavyweight Hoodie,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,50 Units,$24.00,,$20.50,$13.00,10-14 days (4 week MTO),15 days,35-50 days,0.95 KGS
FP87,Boston Heavyweight Hoodie,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,Current Supplier,50 units - MTO and Custom Colors,50 Units,$24.00,,$18.50,$14.50,10-14 days (4 week MTO),15 days,35-50 days,0.95 KGS
FP87,Boston Heavyweight Hoodie,"Fuzhou Sandian Garment Co., Ltd.",Harlen Lin,harlenlin5@gmail.com | +86 15551396382,,50 units - MTO and Custom Colors,50 Units,$24.00,,$21.00,$15.70,10-14 days (4 week MTO),15 days,35-50 days,
FP86,Miami Camo Heavyweight Shorts,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,50 Units,$12.00,,$14.00,$12.00,15-19 days,5 days,30 days,0.50 KGS
FP85,San Diego Camo Open Heavyweight Sweatpants,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,50 Units,$19.50,,$24.50,$19.50,15-19 days,5 days,30 days,0.85 KGS
FP84,Chicago Camo Heavyweight Crewneck,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,50 Units,$19.50,,$23.50,$19.50,15-19 days,5 days,30 days,0.80 KGS
FP83,Boston Camo Heavyweight Hoodie,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,50 Units,$21.50,,$26.50,$21.50,15-19 days,5 days,30 days,0.90 KGS
FP82,Sydney Square Neck Tank Top,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.68,$3.68,10-14 days (4 week MTO),10-15 days,35-40 days,
FP82,Sydney Square Neck Tank Top,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.70,$3.60,10-14 days (4 week MTO),10-15 days,35-40 days,
FP82,Sydney Square Neck Tank Top,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com","Current Supplier
(Temporary)",50 units - MTO and Custom Colors,125 Units,$7.00,,$4.70,$3.60,10-14 days (4 week MTO),10-15 days,35-40 days,
FP82,Sydney Square Neck Tank Top,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.48,$3.78,10-14 days (4 week MTO),10-15 days,35-40 days,
FP82,Sydney Square Neck Tank Top,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,125 Units,$7.00,,$5.80,$4.90,10-14 days (4 week MTO),10-15 days,35-40 days,
FP82,Sydney Square Neck Tank Top," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.70,$3.95,10-14 days (4 week MTO),10-15 days,35-40 days,
FP81,Marilyn Tank Top,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.68,$3.68,10-14 days (4 week MTO),10-15 days,35-40 days,
FP81,Marilyn Tank Top,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com","Current Supplier
(Temporary)",50 units - MTO and Custom Colors,125 Units,$7.00,,$4.50,$3.50,10-14 days (4 week MTO),10-15 days,35-40 days,
FP81,Marilyn Tank Top,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.00,$3.25,10-14 days (4 week MTO),10-15 days,35-40 days,
FP81,Marilyn Tank Top," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,125 Units,$7.00,,$3.60,$2.85,10-14 days (4 week MTO),10-15 days,35-40 days,
FP81,Marilyn Tank Top,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.48,$3.88,10-14 days (4 week MTO),10-15 days,35-40 days,
FP81,Marilyn Tank Top,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,125 Units,$7.00,,$5.90,$5.00,10-14 days (4 week MTO),10-15 days,35-40 days,
FP70,Cropped Polo,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$6.50,,$7.20,$6.00,10-14 days,5 days,30 days,
FP69,Rompers,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$15.50,,$17.30,$15.00,10-14 days,5 days,30 days,
FP58,Sasha Crop Top,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$7.00,,$7.20,$6.00,10-14 days,5 days,30 days,
FP55,Sunset Blvd Ribbed Scoop Tank Top,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,110 Units,$7.00,,$4.90,$3.70,10-14 days (4 week MTO),10-15 days,35-40 days,0.13 KGS
FP55,Sunset Blvd Ribbed Scoop Tank Top,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,110 Units,$7.00,,$4.50,$3.50,10-14 days (4 week MTO),10-15 days,35-40 days,0.13 KGS
FP55,Sunset Blvd Ribbed Scoop Tank Top,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,110 Units,$7.00,,$4.68,$3.68,10-14 days (4 week MTO),10-15 days,35-40 days,0.13 KGS
FP55,Sunset Blvd Ribbed Scoop Tank Top,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,110 Units,$7.00,,$4.48,$3.78,10-14 days (4 week MTO),10-15 days,35-40 days,0.13 KGS
FP55,Sunset Blvd Ribbed Scoop Tank Top,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,110 Units,$7.00,,$6.40,$5.50,10-14 days (4 week MTO),10-15 days,35-40 days,0.13 KGS
FP55,Sunset Blvd Ribbed Scoop Tank Top," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,110 Units,$7.00,,$4.34,$3.59,10-14 days (4 week MTO),10-15 days,35-40 days,0.13 KGS
FP54,Rodeo Drive Ribbed Halter Tank Top,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$7.00,,$7.20,$6.00,10-14 days,5 days,30 days,0.13 KGS
FP53,Spring St Ladies Zip Up Hoodie,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$18.12,,$15.25,$11.69,10-14 days (4 week MTO),15 days,35-50 days,0.55 KGS
FP52,Cali Camisole Top,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.68,$3.68,10-14 days (4 week MTO),10-15 days,35-40 days,0.12 KGS
FP52,Cali Camisole Top,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.60,$3.60,10-14 days (4 week MTO),10-15 days,35-40 days,
FP52,Cali Camisole Top,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com","Current Supplier
(Temporary)",50 units - MTO and Custom Colors,125 Units,$7.00,,$4.50,$3.50,10-14 days (4 week MTO),10-15 days,35-40 days,
FP52,Cali Camisole Top,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,125 Units,$7.00,,$6.00,$5.30,10-14 days (4 week MTO),10-15 days,35-40 days,
FP52,Cali Camisole Top,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.48,$3.78,10-14 days (4 week MTO),10-15 days,35-40 days,
FP52,Cali Camisole Top," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,,50 units - MTO and Custom Colors,125 Units,$7.00,,$4.40,$3.65,10-14 days (4 week MTO),10-15 days,35-40 days,
FP51,Park Ave Open Sweatpants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$16.28,,$11.86,$9.68,10-14 days (4 week MTO),15 days,35-50 days,0.60 KGS
FP46,Ringer Mini Tee,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$8.00,,$8.50,$6.80,10-14 days,5 days,30 days,0.20 KGS
FP45,Raglan Mini Tee,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$8.00,,$8.50,$6.80,10-14 days,5 days,30 days,0.20 KGS
FP44,Terry Shorts,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$8.00,,$8.50,$7.21,10-14 days,5 days,30 days,0.30 KGS
